cell_id,weighted_population,historical_density,weighted_housing_units,log_density,log_pop,r_j,cluster_label
108,4.080470758013879,0.0002001207936321924,1.8880124245658831,0.18242221308810022,1.6254039261972633,0.20227059634064407,7
109,2.056363174524251,5.769248104711853e-05,1.0291837550193177,0.05608963055012401,1.1172257040746147,0.1945324332499706,7
110,2.7630751571145034,2.7043350490836812e-05,1.390245563300902,0.026684140854827336,1.3252364840705002,0.11658311263379906,7
111,2.7630751571152947,3.064913055628172e-05,1.3907425537599742,0.030188827574948156,1.3252364840707105,0.1200877993538708,7
112,2.7630751571168783,1.0817340196334724e-05,1.3912396355228491,0.010759251307922643,1.3252364840711313,0.10065822308674709,7
113,6.351901125125725,7.752427140706552e-05,3.4037049573228284,0.07466606840987698,1.9949589362586158,0.008270767922879271,1
114,8.239800046443298,7.391849134162062e-05,4.418794561515845,0.07131410060111605,2.2235202454241305,-0.04842094289056646,1
115,7.81822160535376,2.1634680392669448e-05,4.194211787404126,0.021403972294564443,2.176820217642167,-0.08743260597001482,1
116,3.012006676504088,9.555317173429006e-05,1.6163792763128868,0.09125941537419376,1.3892915342319254,0.16620975071842925,7
117,1.0,8.113005147251044e-05,0.1623881277296842,0.07800683805587816,0.6931471805599453,0.3154175699326529,7
118,1.0,1.802890032722454e-06,0.0002464426602847,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
119,3.882279209313979,3.4254910621726625e-05,1.9076075041527016,0.033681274350748434,1.5856121619195747,0.06281592958005058,1
120,92.9770159039182,0.0002271641441230292,55.19581836323873,0.20470593357284222,4.543050240711709,-0.45634178568191947,2
121,529.2143028211347,0.0009465172671792884,364.1620749353618,0.6660417589148677,6.273281269766317,-0.39879293008319094,6
122,998.33094766674,0.0012800519232329425,559.4695062521338,0.8241982160548225,6.907086002733485,-0.38854856574254715,6
123,315.5875493610969,0.00031189997566098454,141.0979876993897,0.27147644955235445,5.757599820587383,-0.673012779087981,2
124,595.1747867196644,0.0008383438652159412,256.74855864364815,0.6088650930595352,6.390533890379354,-0.4833330402281961,6
125,89.22897628289653,0.003602174285379463,50.53003346018575,1.526528862556092,4.502350620301978,0.8749792832138525,5
